ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year,Company Name,Sub-Industry,Splits,Dividends
NXR,EQY,NEMEX RESOURCES LIMITED                                     ,ORDINARY            ,0.02,20151216,2018,,,1.0,0.48
NXT,EQY,NEXTDC LIMITED                                              ,ORDINARY            ,7.56,20180629,2018,Nextdc Limited Ordinary,IT Services & Consulting,1.0,0.0
NZC,EQY,NZURI COPPER LIMITED                                        ,ORDINARY            ,0.28,20180629,2018,,,1.0,0.0
NZK,EQY,NEW ZEALAND KING SALMON INVESTMENTS LIMITED                 ,ORD FOR. EXEMPT NZX ,2.14,20180629,2018,New Zealand King Salmon Investments Limited Ordinary Foreign Exempt NZX,Fishing & Farming,1.0,0.0
NZM,EQY,NZME LIMITED                                                ,ORD FOR. EXEMPT NZX ,0.785,20180629,2018,Nzme Limited Ordinary Foreign Exempt NZX,Consumer Publishing,1.0,0.0
OAR,EQY,OAKDALE RESOURCES LIMITED                                   ,ORDINARY            ,0.021,20180612,2018,OAR Resources Limited Ordinary,Integrated  Mining,1.0,0.0
OBJ,EQY,OBJ LIMITED                                                 ,ORDINARY            ,0.028,20180629,2018,,,1.0,0.0
OCA,EQY,OCEANIA HEALTHCARE LIMITED                                  ,ORD FOR. EXEMPT NZX ,1.03,20180628,2018,Oceania Healthcare Limited Ordinary Foreign Exempt NZX,Healthcare Facilities & Services,1.0,0.0
OCC,EQY,ORTHOCELL LIMITED                                           ,ORDINARY            ,0.32,20180629,2018,Orthocell Limited Ordinary,Biotechnology & Medical Research,1.0,0.0
OCL,EQY,OBJECTIVE CORPORATION LIMITED                               ,ORDINARY            ,3.5,20180629,2018,Objective Corporation Limited Ordinary,IT Services & Consulting,1.0,0.0
OCP,EQY,OCEANIA CAPITAL PARTNERS LIMITED                            ,ORDINARY            ,2.02,20180629,2018,,,1.0,0.0
ODM,EQY,ODIN METALS LIMITED                                         ,ORDINARY            ,0.205,20180629,2018,,,1.0,0.0
ODY,EQY,ODYSSEY ENERGY LIMITED                                      ,ORDINARY            ,0.056,20180625,2018,Odyssey Gold Ltd Ordinary,Gold,1.0,0.0
OEC,EQY,ORBITAL CORPORATION LIMITED                                 ,ORDINARY            ,0.36,20180629,2018,Orbital Corporation Limited Ordinary,Aerospace & Defense,1.0,0.8
OEL,EQY,OTTO ENERGY LIMITED                                         ,ORDINARY            ,0.065,20180629,2018,Otto Energy Limited Ordinary,Oil & Gas Exploration and Production,1.0,0.0
OEQ,EQY,ORION EQUITIES LIMITED                                      ,ORDINARY            ,0.16,20180626,2018,Orion Equities Limited Ordinary,Investment Management & Fund Operators,1.0,0.0
OEX,EQY,OILEX LTD                                                   ,ORDINARY            ,0.003,20180629,2018,,,1.0,0.0
OFX,EQY,OFX GROUP LIMITED                                           ,ORDINARY            ,1.745,20180629,2018,OFX Group Limited Ordinary,Business Support Services,1.0,0.0
OGA,EQY,OCEAN GROWN ABALONE LIMITED                                 ,ORDINARY            ,0.175,20180629,2018,,,1.0,0.0
OGC,EQY,OCEANAGOLD CORPORATION                                      ,CHESS DEPOSITARY INT,3.78,20180629,2018,,,1.0,0.0
OGX,EQY,ORINOCO GOLD LIMITED                                        ,ORDINARY            ,0.071,20180629,2018,,,1.0,0.0
OHE,EQY,ORION HEALTH GROUP LIMITED                                  ,ORD FOR. EXEMPT NZX ,0.69,20180628,2018,,,1.0,0.0
OIL,EQY,OPTISCAN IMAGING LIMITED                                    ,ORDINARY            ,0.065,20180628,2018,Optiscan Imaging Limited Ordinary,Advanced Medical Equipment & Technology,1.0,0.0
OKJ,EQY,OAKAJEE CORPORATION LIMITED                                 ,ORDINARY            ,0.08,20160908,2018,Oakajee Corporation Limited Ordinary,Integrated  Mining,1.0,0.0
OKR,EQY,OKAPI RESOURCES LIMITED                                     ,ORDINARY            ,0.31,20180629,2018,,,1.0,0.0
OKU,EQY,OKLO RESOURCES LIMITED                                      ,ORDINARY            ,0.3,20180629,2018,,,1.0,0.0
OLH,EQY,OLDFIELDS HOLDINGS LIMITED                                  ,ORDINARY            ,0.065,20180517,2018,Oldfields Holdings Limited Ordinary,Construction Supplies & Fixtures,1.0,0.0
OLI,EQY,OLIVER'S REAL FOOD LIMITED                                  ,ORDINARY            ,0.135,20180629,2018,Oliver's Real Food Limited Ordinary,Other Specialty Retailers,1.0,0.0
OLV,EQY,OTHERLEVELS HOLDINGS LIMITED                                ,ORDINARY            ,0.035,20180629,2018,,,1.0,0.0
OMH,EQY,OM HOLDINGS LIMITED                                         ,ORDINARY            ,1.24,20180629,2018,OM Holdings Limited 10c Ordinary,Specialty Mining & Metals,1.0,0.0
OML,EQY,OOH!MEDIA LIMITED                                           ,ORDINARY            ,4.95,20180629,2018,OOH!Media Limited Ordinary,Advertising & Marketing,1.0,0.0
OMN,EQY,ONEMARKET LIMITED                                           ,ORDINARY            ,1.28,20180629,2018,,,1.0,0.0
OMT,EQY,OMNI MARKET TIDE LTD                                        ,ORDINARY            ,0.025,20180629,2018,,,1.0,0.0
ONE,EQY,ONEVIEW HEALTHCARE PLC                                      ,CDI 1:1             ,1.75,20180629,2018,Oneview Healthcare PLC CDI 1:1,Software,1.0,0.0
ONT,EQY,1300 SMILES LIMITED                                         ,ORDINARY            ,6.4,20180628,2018,,,1.0,0.0
ONX,EQY,ORMINEX LTD                                                 ,ORDINARY            ,0.11,20180629,2018,,,1.0,0.0
OOK,EQY,OOKAMI LIMITED                                              ,ORDINARY            ,0.018,20180629,2018,,,1.0,0.0
OOO,EQY,BETASHARES CRUDE OIL INDEX ETF-CURRENCY HEDGED (SYNTHETIC)  ,ETF UNITS           ,20.38,20180629,2018,BetaShares Crude Oil Index ETF-Currency Hedged (Synthetic) ETF,,1.0,0.0
OPG,EQY,OPUS GROUP LIMITED                                          ,ORDINARY            ,0.5,20180629,2018,,,1.0,0.0
OPN,EQY,OPENDNA LIMITED                                             ,ORDINARY            ,0.031,20180629,2018,Openn Negotiation Limited Ordinary,Online Services,1.0,0.0
OPT,EQY,OPTHEA LIMITED                                              ,ORDINARY            ,0.525,20180629,2018,Opthea Limited Ordinary,Biotechnology & Medical Research,1.0,0.0
ORA,EQY,ORORA LIMITED                                               ,ORDINARY            ,3.57,20180629,2018,Orora Limited Ordinary,Non-Paper Containers & Packaging,1.0,0.53
ORE,EQY,OROCOBRE LIMITED                                            ,ORDINARY            ,5.17,20180629,2018,,,1.0,0.0
ORG,EQY,ORIGIN ENERGY LIMITED                                       ,ORDINARY            ,10.03,20180629,2018,Origin Energy Limited Ordinary,Electric Utilities,1.0,0.0
ORH,EQY,ORH LIMITED                                                 ,ORDINARY            ,0.001,20150923,2018,,,1.0,0.0
ORI,EQY,ORICA LIMITED                                               ,ORDINARY            ,17.75,20180629,2018,Orica Limited Ordinary,Commodity Chemicals,1.0,1.8
ORL,EQY,OROTONGROUP LIMITED                                         ,ORDINARY            ,0.435,20171127,2018,,,1.0,0.0
ORM,EQY,ORION METALS LIMITED                                        ,ORDINARY            ,0.02,20180614,2018,Orion Metals Limited Ordinary,Integrated  Mining,1.0,0.0
ORN,EQY,ORION MINERALS LTD                                          ,ORDINARY            ,0.04,20180629,2018,Orion Minerals Ltd Ordinary,Integrated  Mining,1.0,0.0
ORR,EQY,ORECORP LIMITED                                             ,ORDINARY            ,0.18,20180629,2018,Orecorp Limited Ordinary,Gold,1.0,0.0
OSH,EQY,OIL SEARCH LIMITED                                          ,ORDINARY            ,8.9,20180629,2018,,,1.0,0.0
OSL,EQY,ONCOSIL MEDICAL LTD                                         ,ORDINARY            ,0.23,20180629,2018,Oncosil Medical Ltd Ordinary,Pharmaceuticals,1.0,0.0
OSP,EQY,OSPREY MEDICAL INC                                          ,CDI 2:1 USPROHIBITED,0.15,20180629,2018,,,1.0,0.0
OTI,EQY,ORIENTAL TECHNOLOGIES INVESTMENT LIMITED                    ,ORDINARY            ,0.014,20171031,2018,,,1.0,0.0
OTR,EQY,ONTERRAN LIMITED                                            ,ORDINARY            ,0.315,20170209,2018,,,1.0,0.0
OTW,EQY,OVER THE WIRE HOLDINGS LIMITED                              ,ORDINARY            ,3.31,20180629,2018,,,1.0,0.0
OVH,EQY,ONEVUE HOLDINGS LIMITED                                     ,ORDINARY            ,0.8,20180629,2018,,,1.0,0.0
