ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
APL,EQY,ANTIPODES GLOBAL INVESTMENT COMPANY LTD                     ,ORDINARY            ,1.245,20170630,2017
APO,EQY,APN OUTDOOR GROUP LIMITED                                   ,ORDINARY            ,4.81,20170630,2017
APT,EQY,AFTERPAY TOUCH GROUP LIMITED                                ,DEFERRED SETTLEMENT ,2.95,20170630,2017
APW,EQY,AIMS PROPERTY SECURITIES FUND                               ,UNITS               ,1.505,20170628,2017
APX,EQY,APPEN LIMITED                                               ,ORDINARY            ,3.99,20170630,2017
APY,EQY,AZONTO PETROLEUM LTD                                        ,ORDINARY            ,0.011,20170630,2017
APZ,EQY,ASPEN GROUP                                                 ,ORD/UNITS STAPLED   ,1.1,20170630,2017
AQC,EQY,AUSTRALIAN PACIFIC COAL LIMITED                             ,ORDINARY            ,0.008,20170630,2017
AQD,EQY,AUSQUEST LIMITED                                            ,ORDINARY            ,0.011,20170630,2017
AQF,EQY,AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED            ,ORDINARY            ,1.9,20170626,2017
AQG,EQY,ALACER GOLD CORP.                                           ,CDI 1:1             ,2.14,20170630,2017
AQI,EQY,ALICANTO MINERALS LIMITED                                   ,ORDINARY            ,0.185,20170630,2017
AQJ,EQY,AUS ASIA MINERALS LIMITED                                   ,ORDINARY            ,0.001,20160311,2017
AQQ,EQY,APHRODITE GOLD LIMITED                                      ,ORDINARY            ,0.015,20170630,2017
AQS,EQY,AQUIS ENTERTAINMENT LIMITED                                 ,ORDINARY            ,0.04,20170630,2017
AQU,EQY,AQUAINT CAPITAL HOLDINGS LIMITED                            ,ORDINARY            ,0.1,20150814,2017
AQX,EQY,ALICE QUEEN LIMITED                                         ,ORDINARY            ,0.05,20170630,2017
AQZ,EQY,ALLIANCE AVIATION SERVICES LIMITED                          ,ORDINARY            ,0.97,20170630,2017
AR1,EQY,ARROWHEAD RESOURCES LIMITED                                 ,ORDINARY            ,0.011,20170630,2017
ARA,EQY,ARIADNE AUSTRALIA LIMITED                                   ,ORDINARY            ,0.76,20170629,2017
ARB,EQY,ARB CORPORATION LIMITED.                                    ,ORDINARY            ,15.71,20170630,2017
